JOL_Bin,Direction,n,Average,CI,Lower,Upper
0,B,34,20.58823529,14.22052256,6.367712725,34.80875785
10,B,33,25.17924341,17.1923719,7.986871516,42.37161531
20,B,45,23.2184591,12.69957845,10.51888065,35.91803755
30,B,34,19.76456532,12.45571478,7.308850543,32.2202801
40,B,31,22.77610145,15.98719246,6.788908991,38.7632939
50,B,61,26.207474,15.04406097,11.16341302,41.25153497
60,B,32,24.57603165,15.24318991,9.33284174,39.81922157
70,B,29,27.16362407,15.08910317,12.0745209,42.25272724
80,B,34,34.87967345,16.45299305,18.4266804,51.3326665
90,B,54,44.79906441,17.47478967,27.32427474,62.27385408
100,B,154,53.8961039,17.32779203,36.56831187,71.22389593
0,F,32,31.25,16.31685997,14.93314003,47.56685997
10,F,25,38.27991453,17.32411614,20.95579839,55.60403067
20,F,39,41.1965812,17.4057516,23.7908296,58.6023328
30,F,25,50.0854701,17.32411614,32.76135396,67.40958624
40,F,21,57.7777778,16.73668625,41.04109155,74.51446405
50,F,75,65.13409963,16.44332335,48.69077628,81.57742299
60,F,29,61.57854407,17.10943478,44.46910928,78.68797885
70,F,25,65.18965517,17.55358463,47.63607054,82.7432398
80,F,40,71.07004831,14.65280887,56.41723944,85.72285718
90,F,69,79.64147688,14.03613198,65.6053449,93.67760886
100,F,175,81.71428571,13.43168325,68.28260246,95.14596896
0,S,30,46.66666667,17.58107656,29.08559011,64.24774323
10,S,25,38.37037037,15.10281431,23.26755606,53.47318468
20,S,18,35.63532763,17.71598739,17.91934024,53.35131502
30,S,26,45.58404558,17.19033718,28.3937084,62.77438276
40,S,26,51.67318557,17.61485387,34.0583317,69.28803944
50,S,59,51.67318557,16.89869945,34.77448612,68.57188503
60,S,26,53.16891207,17.19033718,35.97857489,70.35924925
70,S,24,48.93162393,17.44920164,31.48242229,66.38082557
80,S,46,60.52425665,17.51554865,43.008708,78.0398053
90,S,71,66.23413319,15.44832367,50.78580952,81.68245686
100,S,216,75.46296296,14.943995,60.51896796,90.40695796
0,U,220,9.090909091,9.983381792,-0.892472701,19.07429088
10,U,90,11.45957567,12.24847056,-0.788894891,23.70804624
20,U,83,12.13297635,10.83857593,1.294400417,22.97155228
30,U,18,10.49276471,11.20457423,-0.711809522,21.69733894
40,U,21,10.44973545,10.421932,0.027803444,20.87166745
50,U,28,8.706816058,10.91316738,-2.206351321,19.61998344
60,U,17,9.235916587,8.403430671,0.832485916,17.63934726
70,U,18,10.92764591,11.20457423,-0.27692832,22.13222014
80,U,19,14.52241715,12.9804171,1.542000055,27.50283425
90,U,12,21.92982456,13.48680612,8.443018437,35.41663068
100,U,18,33.33333333,16.80686134,16.52647199,50.14019467
